id_pelanggan,nomor_hp,nama_pelanggan,jenis_layanan,jenis_kartu,tanggal_registrasi,status_aktif
378,081321021798,Yudi Saputra,Prabayar,Halo,2023-01-09,0
379,082118285605,Hendra Andriani,Pascabayar,simPATI,2023-04-14,0
380,081305068212,Sandi Saputra,Pascabayar,simPATI,2023-01-05,TRUE
381,081318219259,Sandi Wahyudi,Pascabayar,Loop,2024-03-25,FALSE
382,081193869484,Andi Surya,Prabayar,Halo,2022-09-24,TRUE
383,082323867673!!,Vina Kusuma,Prabayar,Halo,2023-01-18,FALSE
384,085172258937,,Prabayar,Loop,"Mar 20, 2022",0
385,085390012482,Galih Surya,Pascabayar,Loop,2023-12-03,FALSE
386,083146338915,Bagas Andriani,Pascabayar,Kartu As,2024-04-09,true
387,082158951381,Edi Putra,Pascabayar,simPATI,2024-03-12,1
388,082149189117,Hendra Santoso,Prabayar,Loop,2024-09-18,0
389,081232593678,Nanda Setiawan,Pascabayar,simPATI,2022-07-19,1
390,085119878092,Rini Firmansyah,Pascabayar,Loop,2024-09-05,0
391,085167874422,Nanda Wahyudi,Pascabayar,Halo,2024-10-06,false
392,,  Luki Hidayat  ,Pascabayar,Kartu As,2022-10-06,TRUE
393,082105570836,Nanda Kusuma,Pascabayar,Halo,2023-01-09,FALSE
394,085220258254,Vina Nugroho,Prabayar,simPATI,2023-03-05,
395,081206018364,Maya Firmansyah,Prabayar,simPATI,2024-09-29,1
396,082384726290,Nanda Lestari,Pascabayar,Kartu As,2023-10-29,FALSE
397,081317337399,Nur Purnomo,Prabayar,simPATI,2023-01-17,true
398,085182325539,Maya Putra,Pascabayar,Kartu As,2023-02-21,TRUE
399,083179127997,Joko Lestari,Prabayar,Halo,2022-01-06,1
400,082122012560,Cindy Saputra,Pascabayar,Halo,2023-01-21,false
401,081338600304,Zaki Maulana,Pascabayar,Kartu As,2023-09-11,TRUE
402,081395014374,,Pascabayar,Halo,2024-11-13,TRUE
403,082121767201,Citra Pratama,Prabayar,Halo,2022-07-02,true
404,083130493665,Ika Setiawan,Pascabayar,Loop,N/A,false
405,083152294620,Okta Santoso,Prabayar,simPATI,2023-02-01,true
406,081113712436,Edi Purnomo,Prabayar,simPATI,N/A,TRUE
407,081373874029,Qori Firmansyah,Prabayar,Loop,2022-05-06,1
408,082140301095,Dodi Santoso,Pascabayar,simPATI,2024-04-10,1
409,082147124760,Umar Hidayat,Prabayar,Halo,2022-08-15,TRUE
410,081180815712,Umar Saputra,Prabayar,Halo,2022-03-04,1
411,082384743621!!,Dewi Nugroho,Pascabayar,Loop,2023-02-07,1
412,085227466621,Fajar Firmansyah,PASCABAYAR,Halo,2023-12-25,false
413,081179771400,Rizky Pratama,Pascabayar,simPATI,2023-06-22,true
414,083176987313,Edi Nugroho,Pascabayar,simPATI,2024-08-06,0
415,082125623899,Kartika Putra,Prabayar,Loop,2023-08-16,false
416,081187821160,Gita Handoko,Pascabayar,simPATI,2022-11-21,true
417,085321170889,Zaki Wahyudi,Pascabayar,Kartu As,2023-08-17,1
418,085385708200,Hendra Wahyudi,Prabayar,simPATI,2023-06-16,false
419,085394296882,Dodi Saputra,Pascabayar,simPATI,2024-08-06,TRUE
420,082360783274,Umar Pratama,Pascabayar,Halo,2023-04-05,0
421,085204784217,Joko Firmansyah,Pascabayar,Halo,20220124,1
422,082190624672,Bambang Saputra,Prabayar,simPATI,2024-12-15,1
423,082161337605,Fira Hidayat,Prabayar,simPATI,2023-01-18,1
424,083116503440,Joko Pratama,Prabayar,Loop,2024-05-02,TRUE
425,085382141746,Budi Wibowo,Prabayar,Loop,2024-11-24,FALSE
426,083187486941,Edi Wibowo,Prabayar,Kartu As,2023-11-02,1
427,082311716039,Rini Wijaya,Prabayar,Loop,2024-03-19,TRUE
428,081348942046,Dian Nugroho,Pascabayar,Loop,"Feb 8, 2024",1
429,085358097453,  Qori Purnomo  ,Pascabayar,Halo,2023-01-29,0
430,081265995300,Luki Wijaya,Pascabayar,Halo,2024-05-21,TRUE
431,,Ahmad Kusuma,Prabayar,Halo,2024-03-06,FALSE
432,083157047264,Eka Wahyudi,Prabayar,Kartu As,2022-12-03,0
433,085107852548,Edi Wibowo,Pascabayar,Loop,2022-12-25,1
434,082323112327,Luki Handoko,Prabayar,Halo,2023-08-08,false
435,081303886217,Dodi Purnomo,Pascabayar,Loop,20231226,1
436,082293534001,Zaki Rahayu,Prabayar,Kartu As,2024-11-20,1
437,085138517993,Umar_Wijaya,Prabayar,Loop,2024-07-11,true
438,085129045792,Edi Saputra,Prabayar,Halo,2024-09-08,FALSE
439,085328339121,Hendra Wahyudi,Prabayar,simPATI,2024-10-20,FALSE
440,081332001867,Nur Santoso!!,PRABAYAR,Kartu As,2024-06-07,false
441,082331980746,Cindy Nugroho,Prabayar,simPATI,2022-10-11,TRUE
442,083167150066,Kartika Surya!!,Pascabayar,,2024-03-09,1
443,082297089058,Galih Wahyudi,Pascabayar,simPATI,2023-02-03,true
444,085387915059,Dian Pratama,  Pascabayar  ,simPATI,2024-05-28,1
445,085126041809,Ayu Wahyudi,Pascabayar,Halo,2024-01-25,FALSE
446,081311882419,Rini Firmansyah,Pascabayar,Halo,2024-04-04,1
447,081318545705,Qori Lestari,,simPATI,2024-06-10,FALSE
448,082207232472,Okta Susanto,PASCABAYAR,Kartu As,2024-10-27,TRUE
449,085285071058,Tari Kusuma,Pascabayar,simPATI,2022-05-01,TRUE
450,,Hendra Handoko,Prabayar,Loop,2023-10-05,false
451,085369893652,Dian Saputra,Prabayar,Kartu As,2023-06-11,true
452,082250258963,Rizky Wijaya,Pascabayar,Kartu As,2023-01-11,TRUE
453,085206739834,Kartika Andriani,Pascabayar,Loop,"Sep 6, 2023",TRUE
454,081165795515,,Prabayar,Loop,2024-03-24,false
455,082111178619,Fira Pratama,Pascabayar,Kartu As,2022-02-09,FALSE
456,081301227595!!,Kartika Kusuma,Pascabayar,Kartu As,2022-05-02,false
457,083150740717,Joko Handoko,Pascabayar,simPATI,2023-01-27,false
458,082191045203,Maya Santoso,Prabayar,simPATI,2024-05-27,true
459,082353595205,Eka Andriani,Prabayar,Halo,2024-03-05,TRUE
460,082203784233,Vina Purnomo,Prabayar!!,,2023-08-15,1
461,082165426241,Rizky Purnomo,Prabayar,Loop,2024-07-29,TRUE
462,082330886843,Tari Wijaya,Prabayar,simPATI,2022-01-29,0
463,085175921299,Dian Andriani,Pascabayar,simPATI,2024-05-17,true
464,085309207115,  Joko Handoko  ,Prabayar,Kartu As,2022-11-28,TRUE
465,082391611863,Yudi Santoso,Pascabayar,simPATI,2024-01-31,1
466,083131869289,Xena Andriani,Pascabayar,Kartu As,2024-09-09,TRUE
467,082282322041,Gita Firmansyah,Prabayar,Loop,2023-07-23,false
468,081130423227,Budi Rahayu,Pascabayar,Kartu As,2024-10-16,0
469,081159377756,Fajar Santoso,Prabayar,simPATI,2022-07-16,FALSE
470,081204384196,Ayu Setiawan,,simPATI,2024-03-13,0
471,081163621986,Sandi Handoko,Pascabayar,Halo,2024-01-12,FALSE
472,082304962732,Dian Susanto,Prabayar,Kartu As,2022-12-12,true
473,081288087991,Kartika Rahayu,Prabayar,Halo,2024-04-14,FALSE
474,081350583334,Luki Handoko,Pascabayar,Halo,2023-02-19,false
475,085357694535,Dian Lestari,Pascabayar,Halo,2023-05-07,1
476,082250809594,Eka Surya,Pascabayar,Halo,2024-11-06,
477,082159142614,Kartika Rahayu,Prabayar,Halo,2022-04-18,1
478,083163731008,Dewi Handoko,Prabayar,Halo,2022-09-07,FALSE
479,085287447017,Kartika Hidayat,Prabayar,Loop,2023-02-02,0
480,085265633701,Bagas Wahyudi,Pascabayar,simPATI,2023-07-25,TRUE
481,081321425731,Citra Purnomo,Prabayar,simPATI,21/5/2024,FALSE
482,081386209297,Putri Maulana,Prabayar,Kartu As,2023-05-20,false
483,083120457353,Ayu Firmansyah,Pascabayar,Halo,2022-09-22,TRUE
484,085201071261,Dodi Setiawan,Prabayar,Halo,2023-12-27,false
485,085273574223,Bambang Lestari,Prabayar,Loop,2023-03-20,false
486,081325606295,Dian Rahayu,Pascabayar,simPATI,2023-03-09,0
487,085353841852,Ika Santoso,Prabayar,Halo,2022-01-28,1
488,085305549121,Nanda Lestari,Pascabayar,simPATI,2024-01-25,true
489,082320702042,Cindy Purnomo,Pascabayar,simPATI,2024-06-09,FALSE
490,085278976098,Umar Firmansyah,Prabayar,Kartu As,2024-08-29,TRUE
491,085189786533,Okta Wahyudi,Pascabayar,Loop,25/9/2023,true
492,085364497470!!,Sari Maulana,Pascabayar,Halo,2022-04-13,TRUE
493,082360450063,Fajar Wibowo,Pascabayar,Kartu As,2023-12-24,false
494,083163530597,Putri Rahayu,Pascabayar,Kartu As,2022-01-17,true
495,082396546634,Cindy Wahyudi,Prabayar,simPATI,2023-11-08,true
496,083134497439,Edi Putra,Prabayar,Loop,2023-07-07,false
497,085194132109,Dian Andriani,Prabayar,Loop,2024-07-01,1
498,081303004496,Edi Rahayu,Prabayar,Loop,2023-09-16,0
499,085196359570,Sandi Maulana,Prabayar,Loop,2024-05-31,FALSE
500,085150342362,Hendra Andriani,Pascabayar,simPATI,2022-10-05,0
501,081108529469,Sandi Andriani,Pascabayar,Halo,2022-04-13,1
502,082302289466,Hendra Andriani,Prabayar,Kartu As,2023-11-24,FALSE
503,082130303346,Dian Pratama,Pascabayar,Halo,2024-08-17,true
504,081124530123,Nanda_Putra,Prabayar,Halo,2023-06-14,false
505,085322240507,Sari Kusuma,Prabayar,Halo,2024-04-27,true
506,081165838727,Eka Lestari,Prabayar,Loop,2022-10-31,1
507,085333791212,Citra Putra,Prabayar,Halo,23/6/2022,0
508,081139251999,Yudi Nugroho,Prabayar,Kartu As,2023-05-31,FALSE
509,081305422162,Wawan Hidayat,Pascabayar,,2024-02-11,FALSE
510,082270488789!!,Luki Nugroho,Pascabayar,simPATI,2023-11-09,false
511,081366329563,Joko Firmansyah,Prabayar,simPATI,2023-07-03,TRUE
512,081159229411,Fira Rahayu,Prabayar,Halo,2023-10-23,FALSE
513,082220661549,Eka Firmansyah,Prabayar,Kartu As,2024-11-19,TRUE
514,081315481582,Citra Pratama,Prabayar,Loop,2024-06-10,1
515,085229877873,Budi Wijaya,Pascabayar,Loop,2023-10-05,FALSE
516,083126221320,Eka Pratama,Prabayar,Halo,2023-09-18,false
517,083172699994,Fitri Purnomo,Prabayar,Halo,2024-12-14,
518,082128538631,Budi Maulana,,Loop,2022-01-08,true
519,081107686276,Dian Firmansyah,Pascabayar,Kartu As,2023-05-15,TRUE
520,085226713684,Nur Andriani,Prabayar,Kartu As,2022-08-11,FALSE
521,083118750677,Eka Handoko,PRABAYAR,Loop,2024-02-29,true
522,085381596983,Tari Pratama,Prabayar,Halo,2023-09-05,1
523,082373498992,Ahmad Rahayu,Prabayar,Kartu As,2023-12-05,false
524,085294179967,Galih Susanto,Pascabayar,Loop,2022-02-14,true
525,085273478536,Maya Pratama,,Kartu As,2024-12-28,TRUE
526,  081126270664  ,Dodi Pratama,,Kartu As,2022-05-06,1
527,082199741856!!,Bambang Andriani,Prabayar,Halo,2023-04-30,true
528,082364184937,Gita Santoso,Prabayar,Kartu As,26/8/2023,false
529,081203444429,Umar Maulana,Pascabayar,Loop,2022-03-30,FALSE
530,083167256222,Putri Firmansyah,Pascabayar,Halo,2022-09-13,1
531,083139652138,Nanda Maulana,Pascabayar,Kartu As,2023-04-07,TRUE
532,081311732772,Sandi Rahayu,Pascabayar,Loop,2024-05-21,1
533,082316185759,Putri Rahayu,Prabayar,Loop,2022-06-22,1
534,082278417159,Putri Rahayu,Prabayar,simPATI,2023-09-07,TRUE
535,082189260878,Rizky Setiawan,Prabayar,simPATI,2024-12-31,false
536,085346535378,Eka Pratama,Pascabayar,Halo,2022-04-13,0
537,083114336299,Edi Wibowo,Pascabayar,simPATI,2023-06-11,true
538,081183521189,Hendra Wahyudi,Pascabayar,Loop,2024-04-18,true
539,085328575958,Edi Maulana,Prabayar,Halo,2022-09-16,false
540,085183971705,Bagas Nugroho,Pascabayar,Halo,2024-12-19,true
541,081138856811,Eka Setiawan,Pascabayar,simPATI,2023-05-19,false
542,085379055286,Dodi Pratama,Pascabayar,simPATI,2024-05-16,false
543,081111939103,Bagas Wibowo,Pascabayar,Halo,2024-12-26,true
544,081145024373,Zaki Pratama,Pascabayar,Kartu As,2024-03-31,true
545,082135390058,Sandi Wahyudi,Pascabayar,Kartu As,2023-10-21,0
546,081355116436,Yudi Wahyudi,Prabayar,Halo,2022-03-29,1
547,085116441610,Luki Hidayat,Prabayar,Loop,2022-08-03,TRUE
548,081127304276,Cindy Andriani,Pascabayar,Kartu As,2023-03-04,true
549,085364909228,Andi Susanto,Pascabayar,Loop,2023-07-24,0
550,081168811640,Kartika Setiawan,Prabayar,Halo,2023-02-20,FALSE
551,082277041309,Gita Wibowo,Pascabayar,Kartu As,2022-01-26,TRUE
552,082119057720,Rizky Hidayat,Pascabayar,Loop,2023-07-04,false
553,083141224870,Galih Purnomo,Pascabayar,simPATI,2024-08-30,FALSE
554,081361189003,Joko Setiawan,Pascabayar!!,Kartu As,2023-09-18,TRUE
555,085221953689!!,Ika Wibowo,Pascabayar,simPATI!!,2022-03-05,FALSE
556,081321138690,Andi Handoko,Prabayar,Loop,2024-11-09,TRUE
557,085307443602,Cindy Kusuma,Prabayar,Halo,2023-04-07,1
558,083144772690,Citra Santoso,Prabayar,simPATI,2023-03-03,true
559,082359851602,Bagas Lestari,Prabayar,Halo,2022-08-05,true
560,085168623760,Joko Purnomo,Prabayar,simPATI,"Jan 20, 2022",true
561,085240069836,Bagas Kusuma,Pascabayar,simPATI,2022-09-19,true
562,081320212372,Kartika Susanto,,Halo,2022-01-30,0
563,083100889911,EDI PRATAMA,Prabayar,Halo,2023-06-01,false
564,083106085481,Dian Handoko,Pascabayar,simPATI,2024-05-20,0
565,081251985458,Ahmad Saputra,Prabayar,simPATI,2022-10-17,1
566,082369994494,Sari Handoko,Prabayar,simPATI,2024-04-08,TRUE
567,082187940262,Citra Rahayu,Pascabayar,Loop,2022-03-10,FALSE
568,081141291828,Wawan Santoso,Prabayar,Loop,2023-11-11,0
569,085392304660,Andi Wijaya,Prabayar,Kartu As,2022-04-21,false
570,081304850766,Putri Kusuma,Pascabayar,Loop,2023-10-28,0
571,081119153057,Maya Wibowo,Pascabayar,Halo,2023-02-24,1
572,081367086665,Bagas Handoko,Pascabayar,Halo,2024-03-30,1
573,083103500618,Fitri Hidayat,Prabayar,Kartu As,2023-09-14,false
574,081221564952,Cindy Rahayu!!,Pascabayar,simPATI,2024-01-01,0
575,081282730634,Bambang Andriani,Prabayar,Loop,N/A,0
576,081210212543,Sari Maulana,Pascabayar,  Halo  ,2023-07-26,false
577,081103203197,ZAKI WIBOWO,Pascabayar,Halo,2022-04-12,false
578,085225908419,Andi Pratama,Pascabayar,simPATI,2023-08-07,true
579,085328878072,Nur Santoso,Pascabayar,simPATI,2024-08-16,FALSE
580,085247718375,Fira Wahyudi,Prabayar,simPATI,2023-04-10,1
581,081124432362,Zaki Wijaya,Pascabayar,Loop,2022-11-29,TRUE
582,081269139521,Vina Maulana,,simPATI,2023-10-22,false
583,082231983924,JOKO HIDAYAT,Prabayar,Kartu As,2023-08-23,0
584,085246339534,Qori Andriani,Pascabayar,Kartu As,2022-07-05,0
585,085338551281,Nur Surya,Pascabayar,simPATI,2024-07-08,false
586,081336024465,Fira Handoko,Pascabayar,simPATI,2023-07-28,1
587,  082170317543  ,Xena Andriani,Pascabayar,Halo,2024-12-21,FALSE
588,085227288407,Sandi Saputra,Prabayar,Kartu As,2024-05-03,0
589,083123868790,Bagas Maulana,Pascabayar,simPATI,2024-04-12,
590,083127396159,  Sari Saputra  ,Pascabayar,Halo,2024-07-09,1
591,081290384227,Dodi Susanto,Prabayar,Kartu As,2023-03-07,0
592,083117162042,Yudi Susanto,Prabayar,simPATI,20240201,FALSE
593,083180142647,Eka Susanto,Prabayar,simPATI,2022-06-08,TRUE
594,082293326724,Budi Wijaya,Prabayar,Halo,20230727,true
595,082202599851,Sandi Surya,Pascabayar,Kartu As,2023-03-25,1
596,085202667652,Maya Wahyudi,Pascabayar,LOOP,2024-07-18,1
597,082360208019,Tari Purnomo,Pascabayar,simPATI,2022-12-18,true
598,082133202351,Dodi Maulana,Prabayar,Kartu As,2022-03-25,false
599,083188843933,Hendra Wibowo,Pascabayar,simPATI,2023-01-30,false
600,082212907596,Bagas Lestari,Prabayar,Halo,2023-10-04,1
601,085229419375,Rizky Santoso,Prabayar,Halo,2022-07-20,0
602,  082261209617  ,Zaki Wibowo,Pascabayar,Kartu As,2023-04-14,FALSE
603,082314321914,Putri Santoso,Pascabayar,Kartu As,2023-05-02,FALSE
604,082145819204,Zaki Andriani,Prabayar,Kartu As,2024-09-16,TRUE
605,081357846408,Galih Wijaya,Prabayar,Loop,2023-11-15,0
606,082267292543,Sari Saputra,Prabayar,simPATI,2023-10-16,false
607,082272863942,Sandi Hidayat,Pascabayar,Kartu As,2022-01-27,false
608,081126604509,Dodi Handoko,  Prabayar  ,simPATI,2024-01-10,1
609,081322471193,Bambang Firmansyah,Prabayar,Loop,2024-02-22,false
610,085226438500,Dewi Purnomo,Pascabayar,simPATI,2023-10-29,0
611,082216423165,Galih Lestari,Prabayar,Halo,2023-07-20,TRUE
612,083142904617,Gita Lestari,Prabayar,Kartu As,20231103,1
613,082241723456,Vina Nugroho,Prabayar,Loop,2023-11-18,0
614,085323864100,Andi Lestari,Pascabayar,Loop,2023-11-26,TRUE
615,085114604761,Hendra Purnomo,Prabayar,Halo,2023-08-25,1
616,085326368154,Joko Susanto,Prabayar,Kartu As,2022-06-28,1
617,085204356605,Wawan Andriani,Prabayar,Halo,2022-03-16,false
618,081322667941,Nur Andriani,Prabayar,simPATI,2022-02-03,FALSE
619,083187605504,Dodi Saputra,Pascabayar,Halo,2022-10-10,FALSE
620,085229073992,Dewi Kusuma,Prabayar,Halo,2024-11-08,FALSE
621,085164942694,Wawan Santoso,Prabayar,Kartu As,2022-11-20,true
622,082399670692,,Pascabayar,Loop,2022-05-11,1
623,081317816780,Ika Wijaya,Prabayar,simPATI,2024-03-02,true
624,081250370170,Citra Saputra,Prabayar,simPATI,2022-11-16,true
625,082248500728,Cindy Hidayat,Pascabayar,Halo,2024-11-05,TRUE
626,081376620808,Rini Pratama,Prabayar,Loop,2022-10-01,0
627,082387012042,Eka Lestari,Prabayar,Kartu As,2023-09-03,1
628,082196702436,Sandi Wijaya,Pascabayar,Loop,2023-10-14,0
629,082164882159,Kartika Santoso,Pascabayar,Kartu As,2024-07-14,0
630,085249125949,Galih Saputra,Prabayar,Halo,2024-09-19,
631,081279962356,Tari Wibowo,Prabayar,Halo,2022-11-13,false
632,082360413482,Galih Hidayat,Prabayar,Kartu As,2022-04-11,FALSE
633,081244076291,Sari Santoso,Prabayar,Kartu As,2023-09-17,false
634,,Xena Rahayu,Prabayar,Loop,2022-10-05,0
635,082289629805,Ahmad Firmansyah,,Halo,2024-04-03,1
636,081143474125,Citra Nugroho,Pascabayar,Halo,2023-04-07,1
637,083120259991,Tari Kusuma,Prabayar,Loop,2023-02-11,TRUE
638,081178623510,Yudi Susanto,Pascabayar,Loop,2024-08-21,FALSE
639,081245634091,Edi Maulana,Prabayar,Loop,2023-12-27,1
640,081177004093,Nur Wibowo,Prabayar,Kartu As,20220126,true
641,082185886407,Dodi Wijaya,Pascabayar,Loop,2024-12-29,FALSE
642,081330397440,Okta Susanto,Pascabayar,Halo,2024-10-27,false
643,081284311326,Fira Firmansyah,Prabayar,Kartu As,2024-02-15,0
644,081305397077,Wawan Hidayat,Prabayar,Kartu As,2023-07-13,TRUE
645,083153946766,Rizky Firmansyah,Pascabayar,simPATI,2022-09-28,
646,085170368605,Qori Purnomo,Prabayar,simPATI,2022-04-17,true
647,082190912030,Nur Santoso,Prabayar,Loop,2022-10-21,TRUE
648,081109860275,Eka Wibowo,Prabayar,Loop,2024-10-06,TRUE
649,081289655834,Sari Andriani,Pascabayar,Halo,2023-08-03,FALSE
650,085224860704,Tari Pratama,Prabayar,simPATI,2024-07-08,FALSE
651,082116715605,Rizky Handoko,Prabayar,Loop,2024-12-14,1
652,081257905719,Qori Setiawan,Pascabayar,Halo,2022-06-13,TRUE
653,083174876805,Fajar Surya,Pascabayar,simPATI,17/8/2024,true
654,082367333297,Sari Firmansyah,Pascabayar,Kartu As,2023-03-12,0
655,082227739238,Edi Hidayat,Prabayar,simPATI,2023-11-24,FALSE
656,082147199829,Luki Rahayu,Pascabayar,Kartu As,2022-01-19,1
657,081238310064,Fira Firmansyah,Prabayar,Halo,2023-05-19,false
658,085247070385,Andi Wibowo,Pascabayar,simPATI,2022-04-18,TRUE
659,081167582676,Yudi Lestari,PRABAYAR,Halo,2022-10-10,false
660,085214974597,Sandi Lestari,Pascabayar,Loop,2023-03-04,true
661,081199550493,Zaki Susanto,Prabayar,Loop,2022-10-20,false
662,081259485340,Bambang Kusuma,Prabayar,Loop,2022-01-09,false
663,085171888223,Sandi Handoko,Pascabayar,Halo,2024-07-11,false
664,082279984605,Qori Wibowo,Pascabayar,Kartu As,2024-11-21,0
665,081180926166!!,Sandi Pratama,Pascabayar,Halo,2022-09-29,0
666,085364000687,Eka Lestari,Pascabayar,Halo,2023-11-23,FALSE
667,081289974023,Maya Lestari,Prabayar,simPATI,2023-02-17,0
668,082223860205,Galih Nugroho,Pascabayar,simPATI,2022-04-10,true
669,085324528413,Yudi_Wahyudi,Pascabayar,Halo,2024-01-13,TRUE
670,083140598026,Yudi Putra,Prabayar,Loop,2022-01-03,1
671,085334203197,Galih Santoso,Prabayar,Halo,2024-07-30,false
672,085129586841,Budi Saputra,Pascabayar,Halo,2024-05-10,0
673,082117306629,Luki Saputra,Prabayar,Loop,2023-03-14,1
674,085190623272,Tari Firmansyah,Prabayar,Kartu As,N/A,1
675,081184779541,Bambang Handoko,Prabayar,Halo,2024-06-30,0
676,082258962683,Cindy Wahyudi,Prabayar,Halo,2024-11-01,TRUE
677,082318812988,Fira Santoso,Prabayar,Halo,2024-03-03,TRUE
678,083123729826,Dewi Handoko,Pascabayar,Halo,2023-04-19,0
679,083168335570,Wawan Saputra,Prabayar,simPATI,2024-09-24,TRUE
680,085399384440,Fitri Saputra,Pascabayar,simPATI,2023-09-30,FALSE
681,082168715689,Nanda Wijaya,Pascabayar,Kartu As,2022-06-02,false
682,082246794036,Umar Saputra,Prabayar,Halo,2024-05-25,true
683,081392731868,Qori Handoko,Pascabayar,Kartu As,2023-03-03,TRUE
684,085154839660,Qori Kusuma,Pascabayar,Loop,2024-08-13,false
685,083116170502,Yudi Lestari,Pascabayar,Loop,2022-12-06,TRUE
686,082177402928,Joko Andriani,Prabayar,Loop,2024-04-09,false
687,085136677196,Eka_Pratama,Prabayar,simPATI,2024-04-30,false
688,083198013768,Hendra Lestari,Pascabayar,Loop,2023-03-29,TRUE
689,081333517465,Sari Firmansyah,Prabayar,Kartu As,2024-06-08,1
690,082359227764,Rini Firmansyah,  Pascabayar  ,Loop,2022-07-09,1
691,085272288390,Joko Andriani,Pascabayar,simPATI,2023-09-08,FALSE
692,082297887953,Fitri Pratama,Pascabayar,Halo,"May 11, 2022",true
693,085331439151,Ahmad Andriani,,simPATI,2022-05-13,0
694,082225706802,Nanda Susanto,Prabayar,KARTU AS,2024-05-26,FALSE
695,082305224114!!,Umar Surya,Pascabayar,simPATI,2022-11-11,FALSE
696,081322400539,Ayu Rahayu,Prabayar,simPATI,2022-09-25,true
697,081233252861,Hendra Wahyudi,Pascabayar,Kartu As,2023-03-16,1
698,081349866342,Umar Santoso,Pascabayar,Kartu As,2022-04-22,1
699,082361526655,Xena Putra,Prabayar,Halo,2022-05-16,1
700,082324746653,Sandi Wahyudi,Prabayar,Loop,2023-11-24,false
701,083124157127,Rini Purnomo,Pascabayar,Halo,2024-05-06,false
702,085282497939,Tari Pratama,Prabayar,Kartu As,2022-06-08,0
703,085207201489,Xena Rahayu,Prabayar,Kartu As,2024-05-17,0
704,085362542926,Edi Nugroho,Prabayar,Loop!!,2023-08-31,false
705,085264971967,Nur Hidayat,Prabayar,simPATI,2022-02-22,TRUE
706,083149013334,Ika Wahyudi,Prabayar,simPATI,2023-07-11,false
707,085279301481,Dewi Kusuma,Prabayar,Loop,2022-08-01,TRUE
708,085216801990,Cindy Susanto,Pascabayar,Kartu As,2023-05-20,0
709,081279138601,Xena Wahyudi,Pascabayar,simPATI,2023-10-26,TRUE
710,081128814112,Maya Handoko,Prabayar,Halo,2024-12-28,1
711,081238107491,Fajar Firmansyah,Prabayar,simPATI,2024-02-16,FALSE
712,085226168455,Tari Firmansyah,Prabayar,simPATI,2022-12-09,false
713,082366948993,Ayu Saputra,Pascabayar,Halo,2022-04-30,FALSE
714,081272662565,Eka Handoko,Prabayar,Loop,2022-02-23,0
715,082208710066,Tari Hidayat,,Halo,2022-05-01,1
716,082128222824,Dodi Rahayu,Pascabayar,Loop,"Jan 27, 2022",0
717,082311350535,Nur Putra,Prabayar,simPATI,2024-06-26,0
718,085383028010,Andi Firmansyah,Prabayar,Kartu As,2023-09-07,false
719,  085274280218  ,Xena Andriani,Prabayar,simPATI,2023-04-03,true
720,082169905585,Vina Lestari,Prabayar,simPATI,2023-12-07,false
721,081389860610,Maya Maulana,Pascabayar,Halo,2024-03-06,FALSE
722,082298025308,Cindy Kusuma,Pascabayar,Halo,2023-07-29,TRUE
723,081342348004,Eka Putra,Prabayar,simPATI,2022-06-13,true
724,085396024257,Rini Hidayat,Pascabayar,Kartu As,2022-05-06,true
725,085230402966,Bagas Saputra,Prabayar,Kartu As,2023-01-12,0
726,082339266937,Eka Pratama,Prabayar,Kartu As,2022-01-11,
727,085219019333,Citra Wijaya,Prabayar,Loop,2024-02-05,1
728,081285594079,Kartika Purnomo,Prabayar,Halo,2022-10-20,true
729,085247437019,Luki Surya,Prabayar,Halo,2023-08-29,TRUE
730,081220928157,Xena Susanto,Prabayar,Halo,2022-04-23,TRUE
731,082153223718,Xena Susanto,Pascabayar,Kartu As,2023-12-30,FALSE
732,081103753989,Fajar Santoso,Pascabayar,Halo,2022-11-01,true
733,085137659153,Ahmad Purnomo,Prabayar,Kartu As,2024-12-08,0
734,081227245533,Hendra Maulana,Pascabayar,Loop,2024-09-28,FALSE
735,082310462506,Dian Nugroho,Prabayar,Halo,2022-09-23,false
736,082309793442,Fira Putra,Pascabayar,Kartu As,2022-05-30,false
737,082379725184,Budi Nugroho,Prabayar,Kartu As,2022-04-17,FALSE
738,082316767063,Dian Lestari,Pascabayar,Kartu As,13/4/2024,false
739,082226483336,Luki Saputra,Pascabayar,simPATI,2024-07-13,false
740,085292085649,Fira Nugroho,Prabayar,Loop,2022-04-17,TRUE
741,085217580803,Okta Nugroho,Pascabayar,Loop,2024-12-08,0
742,082153814837,Okta Kusuma,Prabayar,Loop,2023-09-28,0
743,083102716988,Andi Kusuma,Pascabayar,Halo,2023-02-23,0
744,082132617050,Edi Saputra,Prabayar,Halo,2023-11-13,FALSE
745,085124266217,Edi Wahyudi,Pascabayar,Halo,2024-09-14,
746,082127276698,Zaki Surya,Prabayar,Loop,2023-03-31,TRUE
747,081189720738,Wawan Setiawan,Prabayar,Loop,2022-12-08,false
748,081190071210,Rini Setiawan,Pascabayar,simPATI,2022-10-17,false
749,083161997165,Xena Pratama,Prabayar,Halo,2024-06-08,
750,081324265379,Galih Maulana,Pascabayar,simPATI,2023-02-15,false
751,082379115010,,Prabayar,Kartu As,2022-05-22,true
752,082154883571,Cindy Setiawan,Pascabayar,Halo,2023-01-18,FALSE
753,081272665282,Sari Setiawan,Prabayar,Kartu As,20230928,TRUE
